# PowerScope Version: V1.0
# Sample Rate (Hz): 6570.2604856450735
# Recording Started: 2025-10-05 22:11:37
# Number of Channels: 6
# Channel Information:
# CH1: Stream=Serial, Index=0
# CH2: Stream=Serial, Index=1
# CH3: Stream=Serial, Index=2
# CH4: Stream=Serial, Index=3
# CH5: Stream=Serial, Index=4
# CH6: Stream=Serial, Index=5
#
Sample,Time_s,CH1,CH2,CH3,CH4,CH5,CH6
161,0.024632,161.000000,38.000000,213.000000,1858.000000,1882.000000,1989.000000
162,0.024785,151.000000,15.000000,66.000000,1913.000000,1915.000000,2020.000000
163,0.024938,86.000000,113.000000,105.000000,1840.000000,1871.000000,1996.000000
164,0.025091,164.000000,47.000000,12.000000,1710.000000,1754.000000,1906.000000
165,0.025244,104.000000,53.000000,85.000000,1880.000000,1897.000000,2016.000000
166,0.025397,38.000000,197.000000,124.000000,1875.000000,1905.000000,2030.000000
167,0.025550,22.000000,169.000000,224.000000,1914.000000,1934.000000,2056.000000
168,0.025703,14.000000,146.000000,78.000000,1765.000000,1800.000000,1947.000000
169,0.025856,158.000000,30.000000,135.000000,1853.000000,1891.000000,2033.000000
170,0.026009,134.000000,0.000000,89.000000,1706.000000,1754.000000,1914.000000
171,0.026162,119.000000,15.000000,190.000000,1699.000000,1753.000000,1914.000000
172,0.026315,57.000000,191.000000,231.000000,1700.000000,1752.000000,1908.000000
173,0.026468,129.000000,2.000000,133.000000,1750.000000,1803.000000,1962.000000
174,0.026621,114.000000,25.000000,234.000000,1688.000000,1744.000000,1906.000000
175,0.026774,171.000000,69.000000,238.000000,1653.000000,1712.000000,1882.000000
176,0.026927,179.000000,96.000000,212.000000,1734.000000,1796.000000,1965.000000
177,0.027080,148.000000,10.000000,162.000000,1777.000000,1829.000000,1936.000000
178,0.027233,143.000000,3.000000,18.000000,1675.000000,1738.000000,1905.000000
179,0.027395,102.000000,59.000000,213.000000,1757.000000,1821.000000,1987.000000
180,0.027548,136.000000,0.000000,92.000000,1762.000000,1819.000000,1985.000000
181,0.027701,6.000000,120.000000,92.000000,1763.000000,1818.000000,1988.000000
182,0.027854,129.000000,2.000000,26.000000,1669.000000,1715.000000,1880.000000
183,0.028007,158.000000,30.000000,154.000000,1671.000000,1717.000000,1881.000000
184,0.028160,131.000000,0.000000,106.000000,1763.000000,1823.000000,1990.000000
185,0.028313,114.000000,25.000000,206.000000,1751.000000,1795.000000,1887.000000
186,0.028466,176.000000,86.000000,102.000000,1785.000000,1839.000000,2002.000000
187,0.028619,58.000000,189.000000,109.000000,1828.000000,1876.000000,2033.000000
188,0.028772,43.000000,199.000000,210.000000,1704.000000,1762.000000,1928.000000
189,0.028925,75.000000,149.000000,88.000000,1710.000000,1768.000000,1935.000000
190,0.029078,61.000000,184.000000,189.000000,1642.000000,1707.000000,1886.000000
191,0.029231,138.000000,0.000000,206.000000,1646.000000,1712.000000,1891.000000
192,0.029384,98.000000,72.000000,150.000000,1799.000000,1861.000000,2031.000000
193,0.029537,51.000000,197.000000,231.000000,1701.000000,1760.000000,1935.000000
194,0.029690,64.000000,178.000000,208.000000,1669.000000,1738.000000,1923.000000
195,0.029843,48.000000,199.000000,57.000000,1735.000000,1806.000000,1986.000000
196,0.029997,173.000000,75.000000,243.000000,1712.000000,1758.000000,1933.000000
197,0.030150,147.000000,8.000000,196.000000,1780.000000,1841.000000,2010.000000
198,0.030303,137.000000,0.000000,49.000000,1896.000000,1941.000000,2089.000000
199,0.030465,72.000000,158.000000,229.000000,1683.000000,1701.000000,1862.000000
200,0.030618,59.000000,188.000000,80.000000,1350.000000,1345.000000,1567.000000
201,0.030771,77.000000,143.000000,59.000000,1100.000000,1073.000000,1193.000000
202,0.030924,49.000000,199.000000,11.000000,1099.000000,975.000000,1097.000000
203,0.031077,77.000000,143.000000,138.000000,1098.000000,950.000000,1097.000000
204,0.031230,174.000000,79.000000,56.000000,1099.000000,952.000000,1098.000000
205,0.031383,160.000000,35.000000,157.000000,1099.000000,944.000000,1097.000000
206,0.031537,166.000000,53.000000,130.000000,1099.000000,952.000000,1098.000000
207,0.031690,143.000000,3.000000,85.000000,1099.000000,952.000000,1099.000000
208,0.031843,92.000000,93.000000,163.000000,1097.000000,947.000000,1098.000000
209,0.031996,23.000000,171.000000,91.000000,1100.000000,947.000000,1098.000000
210,0.032149,9.000000,130.000000,192.000000,1099.000000,941.000000,1097.000000
211,0.032302,122.000000,10.000000,120.000000,1099.000000,951.000000,1100.000000
212,0.032455,15.000000,150.000000,133.000000,1099.000000,952.000000,1099.000000
213,0.032608,172.000000,72.000000,229.000000,1099.000000,947.000000,1098.000000
214,0.032761,52.000000,197.000000,125.000000,1099.000000,950.000000,1099.000000
215,0.032914,46.000000,199.000000,231.000000,1099.000000,942.000000,1076.000000
216,0.033067,59.000000,188.000000,207.000000,1096.000000,947.000000,1092.000000
217,0.033221,176.000000,86.000000,138.000000,1099.000000,907.000000,1076.000000
218,0.033374,73.000000,155.000000,44.000000,1099.000000,906.000000,1099.000000
219,0.033537,52.000000,197.000000,0.000000,1099.000000,886.000000,1077.000000
220,0.033690,33.000000,191.000000,98.000000,1098.000000,881.000000,1096.000000
221,0.033843,80.000000,134.000000,237.000000,1095.000000,806.000000,1084.000000
222,0.033996,166.000000,53.000000,7.000000,1098.000000,745.000000,1073.000000
223,0.034149,158.000000,30.000000,112.000000,1098.000000,730.000000,1098.000000
224,0.034302,47.000000,199.000000,13.000000,1092.000000,670.000000,1069.000000
225,0.034455,37.000000,196.000000,117.000000,1098.000000,660.000000,1076.000000
226,0.034609,104.000000,53.000000,127.000000,1098.000000,648.000000,1051.000000
227,0.034762,169.000000,62.000000,25.000000,1095.000000,620.000000,1018.000000
228,0.034915,161.000000,38.000000,130.000000,1098.000000,603.000000,1021.000000
229,0.035068,131.000000,0.000000,81.000000,1082.000000,547.000000,954.000000
230,0.035221,117.000000,19.000000,182.000000,1083.000000,494.000000,942.000000
231,0.035374,81.000000,130.000000,129.000000,1075.000000,444.000000,953.000000
232,0.035527,92.000000,93.000000,105.000000,1051.000000,401.000000,930.000000
233,0.035680,41.000000,199.000000,183.000000,1037.000000,391.000000,939.000000
234,0.035834,104.000000,53.000000,190.000000,1017.000000,343.000000,804.000000
235,0.035987,89.000000,103.000000,40.000000,1021.000000,262.000000,771.000000
